mysql> select sc.service_code,sum(sc.terminal_add_count) from stat_terminal_capture as sc,service_info_huiyang as sh where  sc.stat_date >'2020-10-01' and sc.service_code=sh.service_info group by sc.service_code desc;
+----------------+----------------------------+
| service_code   | sum(sc.terminal_add_count) |
+----------------+----------------------------+
| 44130335001929 |                   50034345 |
| 44130335001928 |                   39940539 |
| 44130335001927 |                   30371229 |
| 44130335001926 |                   42432717 |
| 44130335001925 |                   33850042 |
| 44130335001924 |                   46522552 |
| 44130335001923 |                   38950086 |
| 44130335001922 |                   40796147 |
| 44130335001921 |                   35592812 |
| 44130335001920 |                   29541061 |
| 44130335001919 |                   35165539 |
| 44130335001918 |                    3476891 |
| 44130335001917 |                   47044639 |
| 44130335001916 |                   48840790 |
| 44130335001915 |                   47418950 |
| 44130335001914 |                   23463674 |
| 44130335001913 |                   17739451 |
| 44130335001912 |                   43544811 |
| 44130335001911 |                   40450885 |
| 44130335001910 |                   50971218 |
| 44130335001909 |                   48532871 |
| 44130335001908 |                   46852486 |
| 44130335001907 |                   53427481 |
| 44130335001906 |                   46187869 |
| 44130335001905 |                   65556771 |
| 44130335001904 |                   51875062 |
| 44130335001903 |                   58118016 |
| 44130335001902 |                   47931212 |
| 44130335001901 |                   53612182 |
| 44130335001900 |                   43709384 |
| 44130335001899 |                   40822485 |
| 44130335001898 |                   43525629 |
| 44130335001897 |                   43286914 |
| 44130335001896 |                    6795476 |
| 44130335001895 |                   62428041 |
| 44130335001894 |                   28345331 |
| 44130335001893 |                   39722720 |
| 44130335001892 |                   38723631 |
| 44130335001891 |                   30742958 |
| 44130335001890 |                   45315223 |
| 44130335001889 |                   31873231 |
| 44130335001888 |                   51805588 |
| 44130335001887 |                   36460048 |
| 44130335001886 |                   41122396 |
| 44130335001885 |                   35675262 |
| 44130335001884 |                   42909625 |
| 44130335001883 |                   33804200 |
| 44130335001882 |                   37790389 |
| 44130335001881 |                   40464695 |
| 44130335001880 |                   47957691 |
| 44130335001879 |                   47809435 |
| 44130335001878 |                   51138853 |
| 44130335001877 |                   47502136 |
| 44130335001876 |                   20388187 |
| 44130335001875 |                   21913345 |
| 44130335001874 |                   29953740 |
| 44130335001873 |                   14913413 |
| 44130335001872 |                   26731961 |
| 44130335001871 |                   18444503 |
| 44130335001870 |                    8313690 |
| 44130335001869 |                   38730252 |
| 44130335001868 |                   29992077 |
| 44130335001867 |                   27919578 |
| 44130335001866 |                   45344769 |
| 44130335001865 |                   44598054 |
| 44130335001864 |                   43258725 |
| 44130335001863 |                    2505969 |
| 44130335001862 |                   59425840 |
| 44130335001861 |                   51658988 |
| 44130335001860 |                   41930742 |
| 44130335001859 |                   27016170 |
| 44130335001858 |                   37366915 |
| 44130335001857 |                   45243423 |
| 44130335001856 |                   21373550 |
| 44130335001855 |                   55471411 |
| 44130335001854 |                   41276551 |
| 44130335001853 |                    2460167 |
| 44130335001852 |                   23522849 |
| 44130335001851 |                   38029646 |
| 44130335001850 |                   30858721 |
| 44130335001849 |                   35008426 |
| 44130335001848 |                   40621811 |
| 44130335001847 |                   34974884 |
| 44130335001846 |                   51232298 |
| 44130335001845 |                   38445862 |
| 44130335001844 |                   33332196 |
| 44130335001843 |                   32577683 |
| 44130335001842 |                   37835979 |
| 44130335001841 |                   55759901 |
| 44130335001840 |                   40314581 |
| 44130335001839 |                   40731986 |
| 44130335001838 |                   32350124 |
| 44130335001837 |                   49243239 |
| 44130335001836 |                   34354722 |
| 44130335001835 |                   42123056 |
| 44130335001834 |                   47174663 |
| 44130335001833 |                   44859720 |
| 44130335001832 |                   44375178 |
| 44130335001831 |                   53350035 |
| 44130335001830 |                   53461228 |
| 44130335001829 |                   41607278 |
| 44130335001828 |                   22553578 |
| 44130335001827 |                   51044877 |
| 44130335001826 |                   27899153 |
| 44130335001825 |                    8381889 |
| 44130335001824 |                    7313835 |
| 44130335001823 |                   16338551 |
| 44130335001822 |                    7231970 |
| 44130335001821 |                   15059983 |
| 44130335001820 |                   36272469 |
| 44130335001819 |                    4579361 |
| 44130335001818 |                   23785579 |
| 44130335001817 |                   34946853 |
| 44130335001816 |                   20664429 |
| 44130335001815 |                   29765531 |
| 44130335001814 |                   33316010 |
| 44130335001813 |                   22698434 |
| 44130335001812 |                   40251613 |
| 44130335001811 |                   37147142 |
| 44130335001810 |                   24411273 |
| 44130335001809 |                   40806360 |
| 44130335001808 |                   31701045 |
| 44130335001807 |                   44699897 |
| 44130335001806 |                   41591864 |
| 44130335001805 |                   32090187 |
| 44130335001804 |                   28461992 |
| 44130335001803 |                   26360765 |
| 44130335001802 |                   33599476 |
| 44130335001801 |                   35454724 |
| 44130335001800 |                   36728513 |
| 44130335001799 |                    5151965 |
| 44130335001798 |                    8952384 |
| 44130335001797 |                   39657842 |
| 44130335001796 |                   43917631 |
| 44130335001795 |                   46841372 |
| 44130335001794 |                   25764270 |
| 44130335001793 |                   36177585 |
| 44130335001792 |                    6449147 |
| 44130335001791 |                   30017912 |
| 44130335001790 |                   12140075 |
| 44130335001789 |                   16324194 |
| 44130335001788 |                   37712094 |
| 44130335001787 |                   35338711 |
| 44130335001786 |                   38718059 |
| 44130335001785 |                   11190294 |
| 44130335001784 |                   14974676 |
| 44130335001783 |                    9637400 |
| 44130335001782 |                   27052042 |
| 44130335001781 |                   21971519 |
| 44130335001780 |                    7415205 |
| 44130335001779 |                   10329284 |
| 44130335001778 |                   13055651 |
| 44130335001777 |                   12366600 |
| 44130335001776 |                    9038491 |
| 44130335001775 |                   13419253 |
| 44130335001774 |                   14645099 |
| 44130335001773 |                   10857285 |
| 44130335001772 |                   15052755 |
| 44130335001771 |                   23235351 |
| 44130335001770 |                   27226971 |
| 44130335001769 |                   33044416 |
| 44130335001768 |                   17799488 |
| 44130335001767 |                    7610924 |
| 44130335001766 |                   11481104 |
| 44130335001765 |                   16216386 |
| 44130335001764 |                   17150721 |
| 44130335001763 |                   18430436 |
| 44130335001762 |                   21377617 |
| 44130335001761 |                   23489273 |
| 44130335001760 |                   41163697 |
| 44130335001759 |                   29185279 |
| 44130335001758 |                   18031631 |
| 44130335001757 |                    7498208 |
| 44130335001756 |                   26252186 |
| 44130335001755 |                   19861593 |
| 44130335001754 |                   18526746 |
| 44130335001753 |                   26889775 |
| 44130335001752 |                   18052592 |
| 44130335001751 |                   12926814 |
| 44130335001750 |                   19161673 |
| 44130335001749 |                   19388109 |
| 44130335001748 |                   16620499 |
| 44130335001747 |                   48314304 |
| 44130335001746 |                   46537840 |
| 44130335001745 |                   49801968 |
| 44130335001744 |                   45204658 |
| 44130335001743 |                   48012524 |
| 44130335001742 |                   41451275 |
+----------------+----------------------------+
188 rows in set (0.02 sec)

mysql> 
mysql> 
mysql> 
mysql> select sum(sc.terminal_add_count) from stat_terminal_capture as sc,service_info_huiyang as sh where  sc.stat_date >'2020-10-01' and sc.service_code=sh.service_info ;
+----------------------------+
| sum(sc.terminal_add_count) |
+----------------------------+
|                 6079621961 |
+----------------------------+
1 row in set (0.01 sec)

